Fri Jan 20 16:34:04 2023    profiling/profile.dat

         5924224 function calls (5841639 primitive calls) in 26.705 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      120    0.000    0.000    0.003    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/_tensor.py:223(__reduce_ex__)
      120    0.000    0.000    0.001    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/_tensor.py:251(storage)
      120    0.001    0.000    0.003    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/_tensor.py:262(_reduce_ex_internal)
      120    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/hooks.py:54(warn_if_has_hooks)
      120    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/_namedtensor_internals.py:10(check_serializing_named_tensor)
      120    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/storage.py:455(untyped)
      120    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/storage.py:467(__len__)
      120    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/storage.py:571(element_size)
      120    0.000    0.000    0.001    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/storage.py:648(size)
      120    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/storage.py:651(pickle_storage_type)
      120    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/serialization.py:137(_cpu_tag)
      120    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/serialization.py:204(location_tag)
      120    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/_utils.py:650(_element_size)
       92    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/sampler.py:110(num_samples)
       91    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/dataloader.py:437(_auto_collation)
       64    0.001    0.000    0.001    0.000 {built-in method torch.empty}
       60    0.009    0.000    0.009    0.000 {built-in method torch.randperm}
       60    0.019    0.000    0.019    0.000 {method 'tolist' of 'torch._C._TensorBase' objects}
       60    0.001    0.000    0.001    0.000 {method 'random_' of 'torch._C._TensorBase' objects}
       60    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/dataloader.py:441(_index_sampler)
       43    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/tokenize.py:431(_tokenize)
       42    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       41    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       39    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       39    0.000    0.000    0.000    0.000 {method 'span' of 're.Match' objects}
       39    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/tokenize.py:172(add_whitespace)
       35    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       33    0.001    0.000    0.001    0.000 {built-in method builtins.print}
       32    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       31    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       30    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.BytesIO' objects}
       30    0.002    0.000    0.009    0.000 {method 'dump' of '_pickle.Pickler' objects}
       30    0.000    0.000    0.000    0.000 {method 'manual_seed' of 'torch._C.Generator' objects}
       30    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/serialization.py:233(_is_path)
       30    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/serialization.py:239(__init__)
       30    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/serialization.py:242(__enter__)
       30    0.009    0.000    0.009    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/serialization.py:286(__init__)
       30    0.014    0.000    0.014    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/serialization.py:289(__exit__)
       30    0.000    0.000    0.009    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/serialization.py:303(_open_zipfile_writer)
       30    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/serialization.py:354(_check_dill_version)
       30    0.000    0.000    0.059    0.002 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/serialization.py:373(save)
